Ticker,ContributionShare
CAT,0.10772529496583329
DE,0.08741159611684172
MSFT,0.06937408691490843
COST,0.06550529716339962
WMT,0.06317994232980219
AMZN,0.05042400065595518
MA,0.04966086479277429
GOOGL,0.041805865775907974
JPM,0.04100669272346886
HD,0.03791878619725503
V,0.03606719292899141
NEE,0.03564314489569121
NSC,0.032670218115343694
LMT,0.030192243556334646
UNP,0.02994377184885494
HON,0.028703574158877157
WMB,0.02427493783705979
BRK.B,0.022712059017948684
KMI,0.019572526056302227
UNH,0.019272187004325078
SCHW,0.019119388781859457
JNJ,0.016897908535730935
GE,0.016751542735529625
ADM,0.011122310306950158
MCK,0.010714504111084563
BIL,0.008899392170222691
TSN,0.006437815997708899
PFE,0.006384719881571315
D,0.0055607581637450495
BG,0.005047376259721915
