Metric,Value
Start,2016-01-04
End,2025-12-31
Trading Days,2514
Total Return (Republic),3.1196778120386135
Total Return (SPY),2.9465789532091304
CAGR (Republic),0.15247913282866454
CAGR (SPY),0.14753086539482219
Ann Vol (Republic),0.14312587543676192
Ann Vol (SPY),0.1800962864993855
Max Drawdown (Republic),-0.28531231738195906
Max Drawdown (SPY),-0.3371725123575525
Beta vs SPY (Republic),0.7320070084567831
"Alpha vs SPY (ann, approx)",0.040353777877211394
Correlation vs SPY,0.9210895200626299
Tracking Error (ann),0.07372159511904687
Active CAGR (Republic minus SPY),0.004312099641990752
Information Ratio,0.05849167581123958
Sharpe (0% RF),1.0653498702688127
Sharpe (BIL RF),0.9040917198478037
